From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P60228	P60228	reviewed	EIF3E_HUMAN	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6	Homo sapiens (Human)	445
P60468	P60468	reviewed	SC61B_HUMAN	Protein transport protein Sec61 subunit beta	SEC61B	Homo sapiens (Human)	96
P60484	P60484	reviewed	PTEN_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (EC 3.1.3.-) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403
P60510	P60510	reviewed	PP4C_HUMAN	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16) (Protein phosphatase X) (PP-X)	PPP4C PPP4 PPX	Homo sapiens (Human)	307
P60568	P60568	reviewed	IL2_HUMAN	Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin)	IL2	Homo sapiens (Human)	153
P60660	P60660	reviewed	MYL6_HUMAN	Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)	MYL6	Homo sapiens (Human)	151
P60709	P60709	reviewed	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	Homo sapiens (Human)	375
P60763	P60763	reviewed	RAC3_HUMAN	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)	RAC3	Homo sapiens (Human)	192
P60842	P60842	reviewed	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
P60852	P60852	reviewed	ZP1_HUMAN	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	ZP1	Homo sapiens (Human)	638
P60866	P60866	reviewed	RS20_HUMAN	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	RPS20	Homo sapiens (Human)	119
P60880	P60880	reviewed	SNP25_HUMAN	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)	SNAP25 SNAP	Homo sapiens (Human)	206
P60891	P60891	reviewed	PRPS1_HUMAN	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	PRPS1	Homo sapiens (Human)	318
P60896	P60896	reviewed	SEM1_HUMAN	26S proteasome complex subunit SEM1 (26S proteasome complex subunit DSS1) (Deleted in split hand/split foot protein 1) (Split hand/foot deleted protein 1) (Split hand/foot malformation type 1 protein)	SEM1 C7orf76 DSS1 SHFDG1 SHFM1	Homo sapiens (Human)	70
P60900	P60900	reviewed	PSA6_HUMAN	Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain) (Proteasome subunit alpha-1) (alpha-1)	PSMA6 PROS27	Homo sapiens (Human)	246
P60903	P60903	reviewed	S10AA_HUMAN	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100A10 ANX2LG CAL1L CLP11	Homo sapiens (Human)	97
P60953	P60953	reviewed	CDC42_HUMAN	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
P61006	P61006	reviewed	RAB8A_HUMAN	Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel)	RAB8A MEL RAB8	Homo sapiens (Human)	207
P61009	P61009	reviewed	SPCS3_HUMAN	Signal peptidase complex subunit 3 (Microsomal signal peptidase 22/23 kDa subunit) (SPC22/23) (SPase 22/23 kDa subunit)	SPCS3 SPC22 UNQ1841/PRO3567	Homo sapiens (Human)	180
P61011	P61011	reviewed	SRP54_HUMAN	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)	SRP54	Homo sapiens (Human)	504
P61019	P61019	reviewed	RAB2A_HUMAN	Ras-related protein Rab-2A (EC 3.6.5.2)	RAB2A RAB2	Homo sapiens (Human)	212
P61020	P61020	reviewed	RAB5B_HUMAN	Ras-related protein Rab-5B (EC 3.6.5.2)	RAB5B	Homo sapiens (Human)	215
P61026	P61026	reviewed	RAB10_HUMAN	Ras-related protein Rab-10 (EC 3.6.5.2)	RAB10	Homo sapiens (Human)	200
P61073	P61073	reviewed	CXCR4_HUMAN	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Homo sapiens (Human)	352
P61077	P61077	reviewed	UB2D3_HUMAN	Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	UBE2D3 UBC5C UBCH5C	Homo sapiens (Human)	147
P61081	P61081	reviewed	UBC12_HUMAN	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)	UBE2M UBC12	Homo sapiens (Human)	183
P61088	P61088	reviewed	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	UBE2N BLU	Homo sapiens (Human)	152
P61106	P61106	reviewed	RAB14_HUMAN	Ras-related protein Rab-14 (EC 3.6.5.2)	RAB14	Homo sapiens (Human)	215
P61158	P61158	reviewed	ARP3_HUMAN	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Homo sapiens (Human)	418
P61160	P61160	reviewed	ARP2_HUMAN	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	Homo sapiens (Human)	394
P61163	P61163	reviewed	ACTZ_HUMAN	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	ACTR1A CTRN1	Homo sapiens (Human)	376
P61165	P61165	reviewed	TM258_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258 (Oligosaccharyl transferase subunit TMEM258) (Transmembrane protein 258)	TMEM258 C11orf10 HSPC005	Homo sapiens (Human)	79
P61201	P61201	reviewed	CSN2_HUMAN	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	COPS2 CSN2 TRIP15	Homo sapiens (Human)	443
P61204	P61204	reviewed	ARF3_HUMAN	ADP-ribosylation factor 3	ARF3	Homo sapiens (Human)	181
P61218	P61218	reviewed	RPAB2_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide) (RPABC14.4) (RPB14.4) (RPB6 homolog) (RPC15)	POLR2F POLRF	Homo sapiens (Human)	127
P61221	P61221	reviewed	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1 (EC 3.6.5.-) (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40	Homo sapiens (Human)	599
P61244	P61244	reviewed	MAX_HUMAN	Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)	MAX BHLHD4	Homo sapiens (Human)	160
P61247	P61247	reviewed	RS3A_HUMAN	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
P61289	P61289	reviewed	PSME3_HUMAN	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	PSME3	Homo sapiens (Human)	254
P61296	P61296	reviewed	HAND2_HUMAN	Heart- and neural crest derivatives-expressed protein 2 (Class A basic helix-loop-helix protein 26) (bHLHa26) (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND)	HAND2 BHLHA26 DHAND	Homo sapiens (Human)	217
P61313	P61313	reviewed	RL15_HUMAN	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	RPL15 EC45 TCBAP0781	Homo sapiens (Human)	204
P61353	P61353	reviewed	RL27_HUMAN	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	RPL27	Homo sapiens (Human)	136
P61371	P61371	reviewed	ISL1_HUMAN	Insulin gene enhancer protein ISL-1 (Islet-1)	ISL1	Homo sapiens (Human)	349
P61421	P61421	reviewed	VA0D1_HUMAN	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)	ATP6V0D1 ATP6D VPATPD	Homo sapiens (Human)	351
P61457	P61457	reviewed	PHS_HUMAN	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)	PCBD1 DCOH PCBD	Homo sapiens (Human)	104
P61513	P61513	reviewed	RL37A_HUMAN	Large ribosomal subunit protein eL43 (60S ribosomal protein L37a)	RPL37A	Homo sapiens (Human)	92
P61586	P61586	reviewed	RHOA_HUMAN	Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)	RHOA ARH12 ARHA RHO12	Homo sapiens (Human)	193
P61587	P61587	reviewed	RND3_HUMAN	Rho-related GTP-binding protein RhoE (Protein MemB) (Rho family GTPase 3) (Rho-related GTP-binding protein Rho8) (Rnd3)	RND3 ARHE RHO8 RHOE	Homo sapiens (Human)	244
P61601	P61601	reviewed	NCALD_HUMAN	Neurocalcin-delta	NCALD	Homo sapiens (Human)	193
P61626	P61626	reviewed	LYSC_HUMAN	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ LZM	Homo sapiens (Human)	148
P61758	P61758	reviewed	PFD3_HUMAN	Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	VBP1 PFDN3	Homo sapiens (Human)	197
P61764	P61764	reviewed	STXB1_HUMAN	Syntaxin-binding protein 1 (MUNC18-1) (N-Sec1) (Protein unc-18 homolog 1) (Unc18-1) (Protein unc-18 homolog A) (Unc-18A) (p67)	STXBP1 UNC18A	Homo sapiens (Human)	594
P61769	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
P61803	P61803	reviewed	DAD1_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1)	DAD1	Homo sapiens (Human)	113
P61812	P61812	reviewed	TGFB2_HUMAN	Transforming growth factor beta-2 proprotein (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF) [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-2 (TGF-beta-2)]	TGFB2	Homo sapiens (Human)	414
P61916	P61916	reviewed	NPC2_HUMAN	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)	NPC2 HE1	Homo sapiens (Human)	151
P61927	P61927	reviewed	RL37_HUMAN	Large ribosomal subunit protein eL37 (60S ribosomal protein L37) (G1.16)	RPL37	Homo sapiens (Human)	97
P61956	P61956	reviewed	SUMO2_HUMAN	Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B)	SUMO2 SMT3B SMT3H2	Homo sapiens (Human)	95
P61964	P61964	reviewed	WDR5_HUMAN	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WDR5 BIG3	Homo sapiens (Human)	334
P61978	P61978	reviewed	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463
P61981	P61981	reviewed	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247
P62072	P62072	reviewed	TIM10_HUMAN	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10 TIM10	Homo sapiens (Human)	90
P62081	P62081	reviewed	RS7_HUMAN	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	RPS7	Homo sapiens (Human)	194
P62136	P62136	reviewed	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)	330
P62140	P62140	reviewed	PP1B_HUMAN	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Homo sapiens (Human)	327
P62191	P62191	reviewed	PRS4_HUMAN	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	PSMC1	Homo sapiens (Human)	440
P62195	P62195	reviewed	PRS8_HUMAN	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5 SUG1	Homo sapiens (Human)	406
P62241	P62241	reviewed	RS8_HUMAN	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208
P62244	P62244	reviewed	RS15A_HUMAN	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	RPS15A OK/SW-cl.82	Homo sapiens (Human)	130
P62249	P62249	reviewed	RS16_HUMAN	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	RPS16	Homo sapiens (Human)	146
P62258	P62258	reviewed	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255
P62263	P62263	reviewed	RS14_HUMAN	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)	RPS14 PRO2640	Homo sapiens (Human)	151
P62266	P62266	reviewed	RS23_HUMAN	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	RPS23	Homo sapiens (Human)	143
P62269	P62269	reviewed	RS18_HUMAN	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)	RPS18 D6S218E	Homo sapiens (Human)	152
P62273	P62273	reviewed	RS29_HUMAN	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29	Homo sapiens (Human)	56
P62277	P62277	reviewed	RS13_HUMAN	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	RPS13	Homo sapiens (Human)	151
P62280	P62280	reviewed	RS11_HUMAN	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	RPS11	Homo sapiens (Human)	158
P62304	P62304	reviewed	RUXE_HUMAN	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92
P62306	P62306	reviewed	RUXF_HUMAN	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	SNRPF PBSCF	Homo sapiens (Human)	86
P62308	P62308	reviewed	RUXG_HUMAN	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SNRPG PBSCG	Homo sapiens (Human)	76
P62310	P62310	reviewed	LSM3_HUMAN	U6 snRNA-associated Sm-like protein LSm3	LSM3 MDS017	Homo sapiens (Human)	102
P62312	P62312	reviewed	LSM6_HUMAN	U6 snRNA-associated Sm-like protein LSm6	LSM6	Homo sapiens (Human)	80
P62314	P62314	reviewed	SMD1_HUMAN	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	SNRPD1	Homo sapiens (Human)	119
P62316	P62316	reviewed	SMD2_HUMAN	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
P62318	P62318	reviewed	SMD3_HUMAN	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SNRPD3	Homo sapiens (Human)	126
P62330	P62330	reviewed	ARF6_HUMAN	ADP-ribosylation factor 6 (EC 3.6.5.2)	ARF6	Homo sapiens (Human)	175
P62333	P62333	reviewed	PRS10_HUMAN	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	Homo sapiens (Human)	389
P62424	P62424	reviewed	RL7A_HUMAN	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266
P62487	P62487	reviewed	RPB7_HUMAN	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)	POLR2G RPB7	Homo sapiens (Human)	172
P62491	P62491	reviewed	RB11A_HUMAN	Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8)	RAB11A RAB11	Homo sapiens (Human)	216
P62495	P62495	reviewed	ERF1_HUMAN	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	ETF1 ERF1 RF1 SUP45L1	Homo sapiens (Human)	437
P62745	P62745	reviewed	RHOB_HUMAN	Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)	RHOB ARH6 ARHB	Homo sapiens (Human)	196
P62750	P62750	reviewed	RL23A_HUMAN	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	RPL23A	Homo sapiens (Human)	156
P62753	P62753	reviewed	RS6_HUMAN	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
P62805	P62805	reviewed	H4_HUMAN	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4	Homo sapiens (Human)	103
P62820	P62820	reviewed	RAB1A_HUMAN	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A RAB1	Homo sapiens (Human)	205
P62826	P62826	reviewed	RAN_HUMAN	GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)	216
P62829	P62829	reviewed	RL23_HUMAN	Large ribosomal subunit protein uL14 (60S ribosomal protein L17) (60S ribosomal protein L23)	RPL23	Homo sapiens (Human)	140
P62834	P62834	reviewed	RAP1A_HUMAN	Ras-related protein Rap-1A (EC 3.6.5.2) (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1)	RAP1A KREV1	Homo sapiens (Human)	184
P62837	P62837	reviewed	UB2D2_HUMAN	Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1)	UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B	Homo sapiens (Human)	147
P62841	P62841	reviewed	RS15_HUMAN	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	RPS15 RIG	Homo sapiens (Human)	145
P62847	P62847	reviewed	RS24_HUMAN	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	RPS24	Homo sapiens (Human)	133
P62851	P62851	reviewed	RS25_HUMAN	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25	Homo sapiens (Human)	125
P62854	P62854	reviewed	RS26_HUMAN	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Homo sapiens (Human)	115
P62857	P62857	reviewed	RS28_HUMAN	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28	Homo sapiens (Human)	69
P62861	P62861	reviewed	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	Homo sapiens (Human)	133
P62873	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Homo sapiens (Human)	340
P62875	P62875	reviewed	RPAB5_HUMAN	DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)	POLR2L	Homo sapiens (Human)	67
P62877	P62877	reviewed	RBX1_HUMAN	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]	RBX1 RNF75 ROC1	Homo sapiens (Human)	108
P62888	P62888	reviewed	RL30_HUMAN	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	RPL30	Homo sapiens (Human)	115
P62899	P62899	reviewed	RL31_HUMAN	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	RPL31	Homo sapiens (Human)	125
P62906	P62906	reviewed	RL10A_HUMAN	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6	Homo sapiens (Human)	217
P62910	P62910	reviewed	RL32_HUMAN	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	RPL32 PP9932	Homo sapiens (Human)	135
P62913	P62913	reviewed	RL11_HUMAN	Large ribosomal subunit protein uL5 (60S ribosomal protein L11) (CLL-associated antigen KW-12)	RPL11	Homo sapiens (Human)	178
P62917	P62917	reviewed	RL8_HUMAN	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	RPL8	Homo sapiens (Human)	257
P62937	P62937	reviewed	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165
P62942	P62942	reviewed	FKB1A_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	FKBP1A FKBP1 FKBP12	Homo sapiens (Human)	108
P62945	P62945	reviewed	RS32_HUMAN	Small ribosomal subunit protein eS32 (60S ribosomal protein L41) (HG12) (Large ribosomal subunit protein eL41)	RPL41	Homo sapiens (Human)	25
P62955	P62955	reviewed	CCG7_HUMAN	Voltage-dependent calcium channel gamma-7 subunit (Neuronal voltage-gated calcium channel gamma-7 subunit) (Transmembrane AMPAR regulatory protein gamma-7) (TARP gamma-7)	CACNG7	Homo sapiens (Human)	275
P62979	P62979	reviewed	RS27A_HUMAN	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
P62987	P62987	reviewed	RL40_HUMAN	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40) (rpL40)]	UBA52 UBCEP2	Homo sapiens (Human)	128
P62993	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
P63000	P63000	reviewed	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5	Homo sapiens (Human)	192
P63010	P63010	reviewed	AP2B1_HUMAN	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	937
P63027	P63027	reviewed	VAMP2_HUMAN	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)	VAMP2 SYB2	Homo sapiens (Human)	116
